what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1369492190799
java.specification.name,sysinfo,,,"Java Platform API Specification",1369492190799
java.specification.vendor,sysinfo,,,"Oracle Corporation",1369492190799
java.specification.version,sysinfo,,,"1.7",1369492190799
java.vendor,sysinfo,,,"Oracle Corporation",1369492190799
java.version,sysinfo,,,"1.7.0_21",1369492190799
java.vm.info,sysinfo,,,"mixed mode",1369492190799
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1369492190799
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1369492190799
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1369492190799
java.vm.specification.version,sysinfo,,,"1.7",1369492190799
java.vm.vendor,sysinfo,,,"Oracle Corporation",1369492190799
java.vm.version,sysinfo,,,"23.21-b01",1369492190799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369492190818
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1369492192054
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1369492193119
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1369492193417
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1369492193840
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1369492193999
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1369492195291
started,bundle,org.eclipse.wst.dtd.core,1.1.500.v201103300335,"org.eclipse.wst.dtd.core",1369492201346
started,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1369492201572
started,bundle,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.ui",1369492201615
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1369492201775
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1369492202070
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1369529756247
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1369529756247
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1369529756262
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1369529756309
