what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1346217338372
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1346217338372
java.vm.version,sysinfo,,,"19.1-b02",1346217338372
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1346217339854
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1346217340042
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1346217342366
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1346217342397
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1346217342444
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1346217342444
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1346217342538
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1346217342803
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1346217343942
started,bundle,org.eclipse.wst.dtd.core,1.1.500.v201103300335,"org.eclipse.wst.dtd.core",1346217344796
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1346217345124
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1346217345202
started,bundle,org.eclipse.jst.jsf.core,1.3.5.v201105031140,"org.eclipse.jst.jsf.core",1346217345233
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1346217345794
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1346217345997
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1346217346044
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346217349055
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346217727231
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1346217731088
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1346217731104
started,bundle,org.eclipse.emf.edit,2.7.0.v20110606-0949,"org.eclipse.emf.edit",1346217731743
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20110606-0949,"org.eclipse.emf.common.ui",1346217731759
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20110606-0949,"org.eclipse.emf.edit.ui",1346217731790
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1346217731837
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1346217732118
started,bundle,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.ui",1346217732336
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1346217732789
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1346217732851
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.500.v201012020700,"org.eclipse.jst.j2ee.navigator.ui",1346217732898
opened,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1346217733381
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1346217734442
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1346217734692
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1346217734739
started,bundle,org.eclipse.jst.server.core,1.2.202.v20110419,"org.eclipse.jst.server.core",1346217735222
opened,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1346217735378
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.300.v20110427,"org.eclipse.jst.server.tomcat.core",1346217735690
opened,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1346217735721
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1346217736065
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1346217745315
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1346217745315
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.502.v201105180500,"org.eclipse.jst.j2ee.ejb",1346217745503
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1346217745549
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1346217745596
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1346217745627
started,bundle,org.eclipse.xsd,2.7.0.v20110606-0949,"org.eclipse.xsd",1346217745799
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1346217746314
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1346217754551
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1346217755034
opened,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1346217755845
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1346217756126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1346217768076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1346217771383
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346217777077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346217793473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1346217796140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346217801320
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1346217808293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346217814205
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1346217814564
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1346217814611
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346217818573
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.launchShortcut.run",1346217818807
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1346217819072
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1346217819806
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1346217821912
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1346217823379
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1346217826236
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1346217826657
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1346217826797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346217923367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346217935898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346217941844
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346217943972
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1346217993105
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1346217997598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1346217999595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218001233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218009345
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218015851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218018405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218020043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218021900
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218026090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218028866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218032991
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218034879
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218037472
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218039160
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218047901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218050005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218080145
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218083575
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1346218104987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218108481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218205711
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1346218207973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346218259172
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1346218261434
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1346218269624
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346218277954
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1346218280793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218298555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218298675
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218301275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218301571
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218304799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218374968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218377376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218377458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218378752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218378986
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1346218380669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218394522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218413335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218414989
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1346218415051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346218422103
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1346218437968
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1346218437968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346218461633
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1346218463801
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1346218482412
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1346218516467
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1346218546981
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1346218547340
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1346218547558
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1346218547776
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1346218547948
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1346218548166
